timestamp,gpu_util,gpu_mem_ctrl_util,gpu_mem_used_MB,gpu_mem_util_pct,pcie_tx_MBps,pcie_rx_MBps,cpu_total_util,cpu_proc_util
1767162148.8587322,33,7,21558.5625,87.7648693209575,343.1640625,2482.275390625,3.2,7.0
1767162149.0010474,33,7,21558.5625,87.7648693209575,428.857421875,4930.078125,3.2,0.0
1767162149.1433065,33,7,21558.5625,87.7648693209575,323.291015625,4985.693359375,3.3,0.0
1767162149.2855744,33,7,21558.5625,87.7648693209575,477.24609375,4027.392578125,3.1,0.0
1767162149.4278786,29,7,21558.5625,87.7648693209575,427.5390625,5106.591796875,3.3,0.0
1767162149.570071,29,7,21558.5625,87.7648693209575,247.216796875,5478.369140625,3.1,7.0
1767162149.7124214,29,7,21558.5625,87.7648693209575,325.390625,4927.44140625,3.3,0.0
1767162149.8545914,29,7,21558.5625,87.7648693209575,351.416015625,4924.169921875,3.3,0.0
1767162149.9968963,29,7,21558.5625,87.7648693209575,321.728515625,4928.173828125,3.3,0.0
1767162150.1390753,29,7,21558.5625,87.7648693209575,431.494140625,4936.083984375,3.3,0.0
1767162150.2808821,29,7,21558.5625,87.7648693209575,428.076171875,3701.904296875,3.4,7.0
1767162150.423113,29,8,21558.5625,87.7648693209575,429.931640625,4290.52734375,3.3,0.0
1767162150.565238,29,8,21558.5625,87.7648693209575,430.810546875,2490.673828125,3.1,0.0
1767162150.7074597,29,8,21558.5625,87.7648693209575,427.83203125,4081.73828125,3.2,0.0
1767162150.8498132,29,8,21558.5625,87.7648693209575,291.748046875,6159.228515625,3.2,0.0
1767162150.9920146,29,8,21558.5625,87.7648693209575,384.521484375,2682.861328125,3.4,7.0
1767162151.1342921,29,8,21558.5625,87.7648693209575,428.662109375,4944.287109375,3.2,0.0
1767162151.2766473,29,8,21558.5625,87.7648693209575,217.28515625,4919.43359375,3.2,0.0
1767162151.4188664,30,8,21558.5625,87.7648693209575,353.90625,4266.11328125,3.3,0.0
1767162151.5611901,30,8,21558.5625,87.7648693209575,429.58984375,3700.439453125,3.2,0.0
1767162151.7034252,30,8,21558.5625,87.7648693209575,336.376953125,4898.583984375,3.2,7.0
1767162151.8459096,30,8,21558.5625,87.7648693209575,353.466796875,4360.400390625,3.4,0.0
1767162152.0086782,30,8,21558.5625,87.7648693209575,309.9609375,4929.4921875,3.2,0.0
1767162152.1508849,30,8,21558.5625,87.7648693209575,322.900390625,4933.203125,3.3,0.0
1767162152.293158,30,8,21558.5625,87.7648693209575,114.111328125,4740.185546875,3.1,0.0
1767162152.4355488,35,9,21558.5625,87.7648693209575,430.37109375,3707.080078125,3.2,7.0
1767162152.5778058,35,9,21558.5625,87.7648693209575,480.810546875,3705.126953125,3.1,0.0
1767162152.7201087,35,9,21558.5625,87.7648693209575,366.9921875,5299.21875,3.2,0.0
1767162152.8623846,35,9,21558.5625,87.7648693209575,456.25,4325.830078125,3.4,0.0
1767162153.0045898,35,9,21558.5625,87.7648693209575,453.22265625,3701.66015625,3.4,0.0
1767162153.1467497,35,9,21558.5625,87.7648693209575,447.65625,3706.15234375,3.3,7.0
1767162153.2890768,35,9,21558.5625,87.7648693209575,429.19921875,1262.79296875,3.1,0.0
1767162153.4308496,38,9,21558.5625,87.7648693209575,322.75390625,4931.8359375,3.6,0.0
1767162153.5730758,38,9,21558.5625,87.7648693209575,325.341796875,4925.68359375,3.1,0.0
1767162153.7152944,38,9,21558.5625,87.7648693209575,322.119140625,4937.01171875,3.3,0.0
1767162153.8575444,38,9,21558.5625,87.7648693209575,322.998046875,4940.478515625,3.3,7.0
1767162153.9997478,38,9,21558.5625,87.7648693209575,112.744140625,4019.7265625,3.2,0.0
1767162154.1419322,38,9,21558.5625,87.7648693209575,430.2734375,4925.634765625,3.2,0.0
1767162154.2842765,38,9,21558.5625,87.7648693209575,430.224609375,4926.611328125,3.2,0.0
1767162154.4265096,43,10,21558.5625,87.7648693209575,323.046875,4932.470703125,3.2,0.0
1767162154.5685961,43,10,21558.5625,87.7648693209575,431.103515625,4939.94140625,3.3,0.0
1767162154.71084,43,10,21558.5625,87.7648693209575,531.8359375,3701.953125,3.3,0.0
1767162154.8531623,43,10,21558.5625,87.7648693209575,430.517578125,4931.787109375,3.1,7.0
1767162154.995033,43,10,21558.5625,87.7648693209575,324.90234375,2484.912109375,3.4,0.0
1767162155.137216,43,10,21558.5625,87.7648693209575,429.248046875,4929.19921875,3.2,0.0
1767162155.2795517,43,10,21558.5625,87.7648693209575,340.72265625,4448.2421875,3.2,0.0
1767162155.4217596,42,10,21558.5625,87.7648693209575,473.876953125,3698.974609375,3.2,0.0
1767162155.5638998,42,10,21558.5625,87.7648693209575,428.515625,4943.5546875,3.2,7.0
1767162155.7062368,42,10,21558.5625,87.7648693209575,217.87109375,4914.501953125,3.1,0.0
1767162155.8485184,42,10,21558.5625,87.7648693209575,428.173828125,3706.54296875,3.2,0.0
1767162155.9907618,42,10,21558.5625,87.7648693209575,361.669921875,4925.927734375,3.4,7.0
