cpu_infer,prefetch_num,eval_count,eval_duration,eval_rate,hit_rate,gpu_compute_max_num
4,2,100,54.750633239746094,1.826462893353446,0.292,3
4,3,100,56.60018849372864,1.766778568433215,0.323,3
4,4,100,60.619977712631226,1.6496211937597474,0.329,3
4,1,100,54.405312061309814,1.8380558113021968,0.247,4
4,2,100,53.109572887420654,1.8828997215243215,0.328,4
4,3,100,53.2635178565979,1.87745766753956,0.387,4
4,4,100,59.41122531890869,1.6831835981031888,0.402,4
4,1,100,53.0337598323822,1.8855913726663671,0.248,5
4,2,100,50.94542908668518,1.9628846354370084,0.349,5
4,3,100,52.595996141433716,1.901285408324507,0.417,5
4,4,100,57.64729857444763,1.7346866630854643,0.446,5
4,1,100,52.35210680961609,1.9101428021542755,0.247,6
4,2,100,49.670673847198486,2.013260385949851,0.357,6
4,3,100,52.34563231468201,1.9103790627427726,0.421,6
4,4,100,57.14826679229736,1.749834345168248,0.461,6
4,1,100,50.980581521987915,1.9615311754902212,0.243,7
4,2,100,49.50723743438721,2.01990668803792,0.349,7
4,3,100,52.2635772228241,1.9133784044986661,0.433,7
4,4,100,57.42902755737305,1.7412797021523214,0.426,7
4,1,100,49.75165247917175,2.0099834883246226,0.243,8
4,2,100,48.85833549499512,2.0467336634962456,0.348,8
4,3,100,51.80438280105591,1.9303386044387298,0.43,8
4,4,100,54.298073053359985,1.8416859821476108,0.481,8
6,1,100,42.9366250038147,2.3290139826107783,0.114,1
6,2,100,45.541548013687134,2.195797120685178,0.12,1
6,3,100,49.63593149185181,2.0146695547844393,0.122,1
6,4,100,55.312018632888794,1.8079253383195006,0.121,1
6,1,100,43.039512157440186,2.3234464097593897,0.195,2
6,2,100,54.471986532211304,1.8358060053650933,0.216,2
6,3,100,48.73929023742676,2.0517327912011796,0.232,2
6,4,100,54.729992151260376,1.8271517328857703,0.229,2
6,1,100,43.35707688331604,2.3064285507328646,0.226,3
6,2,100,43.83698749542236,2.281178651029394,0.29,3
6,3,100,55.22653937339783,1.8107236327787937,0.3,3
6,4,100,55.97952055931091,1.7863675680117501,0.308,3
6,1,100,43.32895755767822,2.3079253606986265,0.24,4
6,2,100,52.40582346916199,1.9081848806143582,0.318,4
6,3,100,46.25047707557678,2.1621398593703676,0.367,4
6,4,100,54.28152561187744,1.8422474105650195,0.368,4
6,1,100,42.17166304588318,2.3712605284548305,0.241,5
6,2,100,45.80122375488281,2.1833477754912414,0.335,5
6,3,100,45.847710609436035,2.1811339905687404,0.402,5
6,4,100,54.02595615386963,1.8509621507705136,0.411,5
6,1,100,41.75070142745972,2.3951693404180587,0.247,6
6,2,100,42.08348798751831,2.376228891237802,0.344,6
6,3,100,56.09465932846069,1.782700905882195,0.398,6
6,4,100,57.76116394996643,1.7312670514503736,0.388,6
6,1,100,40.29586958885193,2.481643925799917,0.246,7
6,2,100,41.0908477306366,2.4336319526803485,0.341,7
6,3,100,44.67633128166199,2.238321660065368,0.41,7
6,4,100,54.41103386878967,1.837862523273249,0.4,7
6,1,100,39.78212904930115,2.5136915089705765,0.244,8
6,2,100,39.90932846069336,2.505679846216652,0.341,8
6,3,100,53.664923429489136,1.8634145659667432,0.381,8
6,4,100,55.48577046394348,1.8022638807004285,0.404,8
8,1,100,38.71950817108154,2.5826774337667606,0.113,1
8,2,100,40.92393732070923,2.443557647357548,0.119,1
8,3,100,45.09308648109436,2.217634848347003,0.12,1
